epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
57,1736.01,0.5597,0.61011,1.50024,0.00247,0.32024,0.82052,0.64865,0.75216,0.61124,0.82052,0.64865,0.75247,0.58253,0.87061,1.44926,1.50292,0.00355,0,0.000412246,0.000412246,0.000412246
58,1765.02,0.52557,0.56786,1.42321,0.0024,0.27894,0.80232,0.65817,0.74659,0.60441,0.80232,0.65817,0.74446,0.5822,0.87067,1.449,1.49288,0.00357,0,0.000397019,0.000397019,0.000397019
59,1789.25,0.53634,0.56967,1.2265,0.00232,0.35231,0.80232,0.65817,0.74659,0.60441,0.80232,0.65817,0.74446,0.5822,0.87067,1.449,1.49288,0.00357,0,0.000381899,0.000381899,0.000381899
60,1813.89,0.53595,0.58549,1.3442,0.00245,0.34493,0.81009,0.6341,0.74146,0.60344,0.81009,0.6341,0.74087,0.58332,0.87937,1.4113,1.48698,0.00362,0,0.000366899,0.000366899,0.000366899
61,1838.74,0.54696,0.60663,1.48994,0.00288,0.39036,0.79874,0.64189,0.73978,0.60292,0.79874,0.64189,0.74012,0.59047,0.84767,1.46842,1.49657,0.00354,0,0.000352037,0.000352037,0.000352037
62,1862.83,0.55584,0.54616,1.24854,0.00245,0.34527,0.79874,0.64189,0.73978,0.60292,0.79874,0.64189,0.74012,0.59047,0.84767,1.46842,1.49657,0.00354,0,0.000337325,0.000337325,0.000337325
63,1887.19,0.54052,0.56699,1.49408,0.00261,0.29642,0.81058,0.63514,0.74011,0.61023,0.81058,0.63514,0.74388,0.59158,0.82545,1.41969,1.50124,0.00332,0,0.000322778,0.000322778,0.000322778
64,1913.58,0.5485,0.572,1.65678,0.00379,0.32394,0.77403,0.64804,0.73977,0.60949,0.77403,0.64804,0.74247,0.60267,0.81747,1.4032,1.49322,0.00327,0,0.000308412,0.000308412,0.000308412
65,1940.21,0.52716,0.62398,1.27932,0.00257,0.27689,0.78038,0.62423,0.73418,0.602,0.78038,0.62423,0.73602,0.60161,0.8387,1.43993,1.5027,0.00335,0,0.000294239,0.000294239,0.000294239
66,1966.61,0.51677,0.58693,1.24908,0.00234,0.26111,0.78038,0.62423,0.73418,0.602,0.78038,0.62423,0.73602,0.60161,0.8387,1.43993,1.5027,0.00335,0,0.000280275,0.000280275,0.000280275
67,1993.04,0.54601,0.5683,1.27967,0.0023,0.33289,0.82548,0.59459,0.73055,0.59809,0.82548,0.59459,0.73358,0.59505,0.84802,1.42755,1.52656,0.00336,0,0.000266532,0.000266532,0.000266532
68,2018.67,0.52358,0.60858,1.33356,0.00273,0.36105,0.82845,0.58784,0.72889,0.59915,0.82845,0.58784,0.73157,0.5955,0.8472,1.46385,1.52147,0.00336,0,0.000253024,0.000253024,0.000253024
69,2045.11,0.47558,0.54652,1.30955,0.00233,0.28205,0.73246,0.66216,0.73529,0.60496,0.73246,0.66216,0.73627,0.59372,0.83535,1.42547,1.49649,0.00331,0,0.000239766,0.000239766,0.000239766
70,2070.21,0.47919,0.60183,1.33532,0.00273,0.34375,0.73246,0.66216,0.73529,0.60496,0.73246,0.66216,0.73627,0.59372,0.83535,1.42547,1.49649,0.00331,0,0.000226769,0.000226769,0.000226769
71,2096.78,0.49235,0.58916,1.24737,0.0023,0.34039,0.73478,0.64865,0.73964,0.60457,0.73478,0.64865,0.7356,0.58336,0.83445,1.40341,1.49506,0.00328,0,0.000214046,0.000214046,0.000214046
72,2122.41,0.49259,0.68231,1.51014,0.00237,0.3618,0.768,0.65541,0.74076,0.60359,0.768,0.65541,0.7407,0.5849,0.83421,1.40302,1.48102,0.00329,0,0.000201611,0.000201611,0.000201611
73,2147.85,0.48801,0.53096,1.47412,0.00257,0.35557,0.768,0.65541,0.74076,0.60359,0.768,0.65541,0.7407,0.5849,0.83421,1.40302,1.48102,0.00329,0,0.000189475,0.000189475,0.000189475
74,2179.09,0.50605,0.53372,1.15792,0.00221,0.29619,0.77254,0.64257,0.74281,0.60491,0.77254,0.64257,0.74198,0.58467,0.83906,1.38765,1.48291,0.00331,0,0.000177651,0.000177651,0.000177651
